Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt5052448,2023-03-15,2023-03-15,,Get Out,https://www.imdb.com/title/tt5052448/,movie,7.7,104,2017,"Horror, Mystery, Thriller",629558,2017-01-23,Jordan Peele,,
2,tt6857112,2023-03-15,2023-03-15,,Us,https://www.imdb.com/title/tt6857112/,movie,6.8,116,2019,"Horror, Mystery, Thriller",309533,2019-03-08,Jordan Peele,8,2019-08-04
3,tt10954984,2023-03-15,2023-03-15,,Nope,https://www.imdb.com/title/tt10954984/,movie,6.8,130,2022,"Horror, Mystery, Sci-Fi, Thriller",206919,2022-07-18,Jordan Peele,,
4,tt7784604,2023-03-15,2023-03-15,,Hereditary,https://www.imdb.com/title/tt7784604/,movie,7.3,127,2018,"Drama, Horror, Mystery, Thriller",332559,2018-01-21,Ari Aster,,
5,tt8772262,2023-03-15,2023-03-15,,Midsommar,https://www.imdb.com/title/tt8772262/,movie,7.1,148,2019,"Drama, Horror, Mystery, Thriller",339721,2019-06-24,Ari Aster,,
6,tt4263482,2023-03-15,2023-03-15,,The VVitch: A New-England Folktale,https://www.imdb.com/title/tt4263482/,movie,6.9,92,2015,"Drama, Fantasy, Horror, Mystery, Thriller",271795,2015-01-23,Robert Eggers,,
7,tt7984734,2023-03-15,2023-03-15,,The Lighthouse,https://www.imdb.com/title/tt7984734/,movie,7.4,109,2019,"Drama, Fantasy, Mystery, Thriller",225660,2019-05-19,Robert Eggers,8,2019-12-28
8,tt15791034,2023-03-15,2023-03-15,,Barbarian,https://www.imdb.com/title/tt15791034/,movie,7.0,102,2022,"Horror, Mystery, Thriller",138267,2022-08-29,Zach Cregger,8,2023-03-05
9,tt7144666,2023-03-15,2023-03-15,,The Black Phone,https://www.imdb.com/title/tt7144666/,movie,6.9,103,2021,"Horror, Thriller",157216,2021-09-25,Scott Derrickson,,
10,tt3235888,2023-03-15,2023-03-15,,It Follows,https://www.imdb.com/title/tt3235888/,movie,6.8,100,2014,"Horror, Mystery, Thriller",249408,2014-05-17,David Robert Mitchell,,
11,tt4160708,2023-03-15,2023-03-15,,Don't Breathe,https://www.imdb.com/title/tt4160708/,movie,7.1,88,2016,"Crime, Horror, Thriller",282092,2016-03-12,Fede Alvarez,,
12,tt13841850,2023-03-15,2023-03-15,,Men,https://www.imdb.com/title/tt13841850/,movie,6.1,100,2022,"Drama, Fantasy, Horror, Thriller",48039,2022-05-20,Alex Garland,,
13,tt2321549,2023-03-15,2023-03-15,,The Babadook,https://www.imdb.com/title/tt2321549/,movie,6.8,94,2014,"Horror, Mystery",230883,2014-01-17,Jennifer Kent,,
14,tt6644200,2023-03-15,2023-03-15,,A Quiet Place,https://www.imdb.com/title/tt6644200/,movie,7.5,90,2018,"Drama, Horror, Sci-Fi",542340,2018-03-09,John Krasinski,,
